date,u1,u2,u3,u4
2015-09-17,-0.88669,-0.18389,-0.34931,-0.70324
2015-10-28,-0.08395,1.81664,-0.62851,-0.15537
2015-12-16,0.29386,-0.32833,-0.52395,-0.10388
2016-01-27,-0.06472,0.14264,-0.00733,-1.25907
2016-03-16,-0.20029,-1.26479,-0.18258,-1.36531
2016-04-27,-0.07338,-0.02463,-0.38407,0.64166
2016-06-15,0.00996,-0.61069,0.38534,-0.96494
2016-07-27,-0.1426,0.03034,-0.49262,0.36653
2016-09-21,-0.69928,-0.27527,-0.416,-0.20382
2016-11-02,-0.07705,0.02915,-0.0438,0.28072
2016-12-14,-0.01193,0.82878,0.4999,0.95547
2017-02-01,-0.03078,-0.6161,0.35131,-0.16512
2017-03-15,0.01327,-1.09048,0.01424,-0.8364
2017-05-03,-0.00365,0.16526,0.112,0.42795
2017-06-14,0.2596,0.24043,-0.09311,0.37592
2017-07-26,-0.06689,-0.19062,-0.11588,-0.33907
2017-09-20,-0.00857,0.661,0.21754,0.59485
2017-11-01,-0.0369,-0.08973,0.15513,0.22095
2017-12-13,0.00327,-0.31198,-0.10905,-0.134
2018-01-31,-0.07259,0.2063,0.3375,0.10447
2018-03-21,0.0026,-0.73766,0.8408,0.58551
2018-05-02,0.00295,-0.35738,-0.00813,-0.01176
2018-06-13,-0.07079,0.68024,0.16319,0.58687
2018-08-01,0.08045,-0.06627,-0.1377,0.01745
2018-09-26,0.14257,-0.47627,0.05642,0.33833
2018-11-08,0.04673,-0.04287,0.07133,0.28577
2018-12-19,0.45459,0.88442,-0.6373,-1.4796
2019-01-30,0.00927,-1.5701,0.24061,0.63012
2019-03-20,0.21193,-1.40645,-0.17543,-0.49325
2019-05-01,-0.39136,-0.67363,0.22731,-0.50285
2019-06-19,0.59479,-1.80633,0.38838,-1.0038
