date,gs3mo,ff,bofaml_us_aa_oas,bofaml_us_aa_yld,bofaml_us_bbb_oas,bofaml_us_bbb_yld,bofaml_us_hyld_oas,nfci_lin,eurusd,sp500,sveny01,sveny02,sveny05,sveny10,bkeven02,bkeven03,bkeven04,bkeven05,bkeven10,bkeven1f4,bkeven1f9,bkeven5f05,broad,afe,eme,krippner,krippnerlong
08may2003,1.09,1.27,.50999999,3.2,1.88,5.0100002,6.5500002,-.7318842751639245,-13.409381,682.46674,1.1905,1.4681,2.6521,4.0212,2.11529994010925,1.47350001335144,1.28900003433228,1.29949998855591,1.91460001468658,1.34549999237061,3.07349991798401,2.53010010719299,467.7553487532882,470.3154386681195,463.8150971343625,.3743365477863407,.37433654
09may2003,1.11,1.24,.51999998,3.2,1.88,5.0100002,6.5300002,-.7333599925041199,-13.680075,683.88446,1.1791,1.4587,2.6441,3.999,1.81480002403259,1.46329998970032,1.34399998188019,1.34819996356964,1.88559997081757,1.36940002441406,2.99399995803833,2.42239999771118,467.6003112201705,470.1942709139058,463.6107751744487,.3588066341053276,.35880664
12may2003,1.1,1.25,.51999998,3.1700001,1.89,4.9899998,6.5300002,-.7349671466009955,-14.816133,685.13013,1.1687,1.4387,2.612,3.9451,1.72010004520416,1.40320003032684,1.30550003051758,1.32149994373322,1.86899995803833,1.38989996910095,2.97950005531311,2.41630005836487,467.4142022815952,469.8295548790533,463.6845601190427,.3404530922701244,.34045309
13may2003,1.09,1.23,.52999997,3.1700001,1.92,5,6.5300002,-.735502864633288,-14.132624,684.8324,1.1933,1.4626,2.6013,3.9342,1.30219995975494,1.269700050354,1.31089997291565,1.38150000572205,1.81529998779297,1.67079997062683,2.61529994010925,2.25329995155334,467.4854079891525,469.9992522583421,463.6124491076139,.3296130777663248,.32961309
14may2003,1.0599999,1.3,.54000002,3.1099999,1.9400001,4.9400001,6.6199999,-.7360385826655804,-13.967479,684.51135,1.1382,1.3843,2.5015,3.8284,1.78919994831085,1.38580000400543,1.26479995250702,1.28229999542236,1.84449994564056,1.35629999637604,2.92759990692139,2.40729999542236,467.27253144966,469.6216821340579,463.6392206906027,.3057613391976861,.30576134
15may2003,1.0599999,1.36,.54000002,3.1500001,1.95,4.9699998,6.5500002,-.7365743006978711,-13.610267,685.29504,1.1752,1.4505,2.5448,3.8315,1.22940003871918,1.24170005321503,1.30630004405975,1.38769996166229,1.78900003433228,1.72029995918274,2.47399997711182,2.19600009918213,467.4144595314562,469.5902354480983,464.0334290153143,.3040691333838205,.30406913
16may2003,1.05,1.26,.55000001,3.0699999,1.95,4.9000001,6.6300001,-.7371100187301636,-13.906552,685.04437,1.1169,1.3659,2.4653,3.7787,1.11619997024536,1.1418000459671,1.22339999675751,1.3206000328064,1.76289999485016,1.71659994125366,2.48440003395081,2.21110010147095,467.277243637291,469.1172735644913,464.3847621809176,.2732574630503533,.27325746
19may2003,1.05,1.26,.54000002,3.03,1.96,4.8899999,6.6599998,-.7366471460887367,-15.289247,682.52106,1.0929,1.3449,2.4392,3.7636,1.17719995975494,1.17809998989105,1.2389999628067,1.32050001621246,1.73769998550415,1.65310001373291,2.45689988136292,2.15980005264282,466.9015751028563,468.4927632856962,464.3711870267795,.2739949243849793,.27399492
20may2003,1.04,1.23,.56,2.97,1.98,4.8299999,6.77,-.7364928552082608,-15.220638,682.40802,1.067,1.2925,2.3677,3.6825,1.1327999830246,1.16059994697571,1.24360001087189,1.34130001068115,1.78069996833801,1.7389999628067,2.4935998916626,2.22620010375977,466.6050685487534,468.1075400282583,464.2037734875244,.2665003196065157,.26650032
21may2003,1.0599999,1.23,.56,3.02,1.99,4.8800001,6.8000002,-.7363385643277849,-15.606336,682.80841,1.1255,1.3521,2.4019,3.6809,1.15269994735718,1.18040001392365,1.26110005378723,1.35629999637604,1.78260004520416,1.74409997463226,2.46840000152588,2.21519994735718,466.658014733311,468.2144236688058,464.1782344652921,.2385547443230496,.23855475
